Chinese,English,Category,Novel,Notes
叶轩,Ye Xuan,character_name,,
李萱儿,Li Xuan'er,character_name,,
林建国,Lin Jianguo,character_name,,
林战,Lin Zhan,character_name,,
林渊,Lin Yuan,character_name,,
苏琴,Su Qin,character_name,,
顾凝雪,Gu Ningxue,character_name,,
三灾九难,Three Calamities and Nine Tribulations,cultivation_term,,
三界,Three Realms,cultivation_term,,
三魂七魄,Three Ethereal Souls and Seven Corporeal Spirits,cultivation_term,,
上品,High Grade,cultivation_term,,Quality classification
上品幽冥灵核,Superior Nether Spirit Core,item,,
上品灵石,High-Grade Spirit Stone,item,,
上界,Upper Realm,location,,
下品,Low Grade,cultivation_term,,Quality classification
下品灵石,Low-Grade Spirit Stone,item,,
下界,Lower Realm,location,,
业力,Karma,cultivation_term,,
中千世界,Middle Thousand Worlds,location,,
中品,Medium Grade,cultivation_term,,Quality classification
中品灵石,Mid-Grade Spirit Stone,item,,
中期,Middle Stage,cultivation_term,,Progression stage
中级,Intermediate,cultivation_term,,Level classification
丹方,Pill Formula,item,,
丹炉,Pill Furnace,item,,
丹田,Dantian,cultivation_term,,Energy center in the body
丹药,Medicinal Pill,item,,
主宰,Dominator,title,,
主角光环,Protagonist Halo,cultivation_term,,
九凤,Nine-headed Phoenix,creature,,
九天,Nine Heavens,location,,
九天玄仙,Nine Heavens Profound Immortal,cultivation_realm,,
九头鸟,Nine-headed Bird,creature,,
九尾狐,Nine-tailed Fox,creature,,
九幽之气,Nine Nether Qi,cultivation_term,,
九重天,Nine Heavens,location,,
乾坤,Qiankun,cultivation_term,,
乾坤袋,Qiankun Bag,item,,
乾坤袖,Qiankun Sleeve,technique,,
乾闼婆 / 乾达婆,Gandharva,creature,,
五毒,Five Venoms,cultivation_term,,
五行,Five Elements,cultivation_term,,
五行之气,Five Elements Qi,cultivation_term,,
亲传弟子,Personal Disciple,title,,
人仙,Human Immortal,cultivation_realm,,
人族,Human Race,race,,
人界,Human Realm,location,,
仙丹,Immortal Pill,item,,
仙人,Immortal,cultivation_realm,,
仙侠,Xianxia,genre,,
仙兽,Immortal Beast,creature,,
仙君,Immortal Lord,cultivation_realm,,
仙器,Immortal Artifact,item,,
仙宝,Immortal Treasure,item,,
仙尊,Immortal Venerable,cultivation_realm,,
仙帝,Immortal Emperor,cultivation_realm,,
仙气,Immortal Qi,cultivation_term,,
仙王,Immortal King,cultivation_realm,,
仙界,Immortal Realm,location,,
仙石,Immortal Stone,item,,
仙级,Immortal Rank,cultivation_term,,
仙草,Immortal Plant,item,,
传承,Legacy,cultivation_term,,
体修,Body Cultivator,cultivation_path,,
体质,Physique,cultivation_term,,
佛力,Buddha Power,cultivation_term,,
信仰之力,Power Of Faith,cultivation_term,,
